,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
46,frozenset({'Co-op'}),"frozenset({'Single-player', 'Multi-player'})",0.09564248008131414,0.1434910434221887,0.07728122233515854,0.8080219403496745,5.6311663855719525,1.0,0.06355738307280487,4.461493975602638,0.9093935517006253,0.47747991086501457,0.7758598340671469,0.6733003296081528
126,"frozenset({'Steam Cloud', 'Full controller support', 'Steam Achievements'})",frozenset({'Single-player'}),0.08016656283812584,0.949637693039116,0.07924849995081806,0.9885480572597137,1.0409739045804651,1.0,0.0031193101583449068,4.397708589977199,0.04279157941718819,0.08337070125211271,0.7726088531015683,0.5359996785970564
156,"frozenset({'Multi-player', 'Shared/Split Screen'})","frozenset({'Single-player', 'Remote Play Together'})",0.06724810649529493,0.06377258270762975,0.05085412636479884,0.7562164797659677,11.858018723075707,1.0,0.04656554093139616,3.8404048657333014,0.9816853617427416,0.6343558282208588,0.7396107871535424,0.7768228928392821
155,"frozenset({'Multi-player', 'Remote Play Together'})","frozenset({'Single-player', 'Shared/Split Screen'})",0.06743390493677388,0.05929156147196083,0.05085412636479884,0.7541329011345218,12.719059549328174,1.0,0.04685586484494575,3.826085079576796,0.9880027161207521,0.670267934312878,0.7386362354204078,0.805914376834542
102,frozenset({'Shared/Split Screen'}),"frozenset({'Single-player', 'Remote Play Together'})",0.06748855153720887,0.06377258270762975,0.05095249024558182,0.7549797570850203,11.83862602125246,1.0,0.04664857101085704,3.821020688552801,0.9817903466727921,0.6344583560152423,0.7382898231889065,0.7769757397250294
158,frozenset({'Shared/Split Screen'}),"frozenset({'Single-player', 'Remote Play Together', 'Multi-player'})",0.06748855153720887,0.05901832846978589,0.05085412636479884,0.7535222672064777,12.767597570850203,1.0,0.046871064862225774,3.8177147317339504,0.9883811409249212,0.6722045651545796,0.7380631947987861,0.8075944669365722
54,"frozenset({'Steam Cloud', 'Full controller support'})",frozenset({'Single-player'}),0.08809031990119895,0.949637693039116,0.08685530673136824,0.9859801488833746,1.0382698118563007,1.0,0.0032014185613159357,3.5922141071214333,0.040419810620819785,0.09134272775338496,0.7216201567669542,0.5387208343767769
104,"frozenset({'Steam Cloud', 'Steam Achievements'})",frozenset({'Single-player'}),0.18833404373913898,0.949637693039116,0.1854159152759107,0.9845055710306407,1.0367170324504889,1.0,0.00656680845874677,3.250349339138412,0.04363450050994892,0.1946509706732755,0.6923407622809321,0.5898773409826408
111,"frozenset({'Steam Trading Cards', 'Single-player'})",frozenset({'Steam Achievements'}),0.10465916915308698,0.4506705137873373,0.08669136693006328,0.8283208020050126,1.8379742553911151,1.0,0.039524565395285725,3.199744014581788,0.5092169624841142,0.18498565731476949,0.6874749994240705,0.5103408302495052
101,frozenset({'Remote Play Together'}),"frozenset({'Single-player', 'Shared/Split Screen'})",0.07229745237548772,0.05929156147196083,0.05095249024558182,0.7047619047619047,11.88637788018433,1.0,0.04666586140379443,3.186270517594971,0.9872454096847961,0.6318785578747628,0.686153452923134,0.7820583717357911
157,frozenset({'Remote Play Together'}),"frozenset({'Single-player', 'Multi-player', 'Shared/Split Screen'})",0.07229745237548772,0.059062045750133886,0.05085412636479884,0.7034013605442176,11.90953262133869,1.0,0.046584090924979664,3.1724284237323466,0.9874217237382723,0.6316861254412163,0.6847840624175517,0.7822151140248845
65,"frozenset({'PvP', 'Multi-player'})",frozenset({'Online PvP'}),0.11849568838322568,0.08481152387509973,0.08371859186639999,0.7065117137059583,8.330374003731194,1.0,0.07366879196198967,3.1183134689334286,0.998245112268627,0.7000548345823433,0.6793138310299398,0.846812557883907
67,frozenset({'PvP'}),"frozenset({'Online PvP', 'Multi-player'})",0.11857219362383466,0.08439620971179383,0.08371859186639999,0.7060558576827357,8.365966434912881,1.0,0.07371154814733541,3.1148904110494664,0.9989111726348171,0.7020438090000917,0.6789614182082634,0.8490134248268638
23,frozenset({'PvP'}),frozenset({'Online PvP'}),0.11857219362383466,0.08481152387509973,0.083729521186487,0.7061480320766892,8.326085888005261,1.0,0.0736732327560362,3.114454133462687,0.9982616155051924,0.6997625137011327,0.6789164466236053,0.8466951500589632
161,"frozenset({'Steam Cloud', 'Steam Trading Cards', 'Steam Achievements'})",frozenset({'Single-player'}),0.05382690142846214,0.949637693039116,0.052952555821502344,0.983756345177665,1.0359280727677935,1.0,0.0018365013255336599,3.1004295222794176,0.03665504215678878,0.055709505685934066,0.6774640439932317,0.5197585717187568
34,frozenset({'Steam Trading Cards'}),frozenset({'Steam Achievements'}),0.10897625058745096,0.4506705137873373,0.08943462627189963,0.8206799719185639,1.8210198954924903,1.0,0.04032224342903549,3.063402856278782,0.5059990608268625,0.19020059038188877,0.6735656239431944,0.5095639461872437
103,"frozenset({'Steam Cloud', 'Single-player'})",frozenset({'Steam Achievements'}),0.22624785512093293,0.4506705137873373,0.1854159152759107,0.8195256267813149,1.8184585006331992,1.0,0.08345267816527681,3.043808804627498,0.581689739648206,0.3772431122278802,0.6714642527875924,0.6154739810880019
114,"frozenset({'Steam Cloud', 'Steam Trading Cards'})",frozenset({'Single-player'}),0.05787074986065117,0.949637693039116,0.0569089696929954,0.9833805476864967,1.0355323455405332,1.0,0.001952724300882877,3.0303229017941056,0.03642082007573183,0.0598664014624556,0.6700021639911875,0.5216537905139431
31,frozenset({'Steam Cloud'}),frozenset({'Steam Achievements'}),0.23101303867886377,0.4506705137873373,0.18833404373913898,0.8152528741070162,1.8089776214907156,1.0,0.08422327890616142,2.973412893745725,0.5815463544231735,0.38174568010633586,0.6636861291267688,0.616575145674825
106,frozenset({'Steam Cloud'}),"frozenset({'Single-player', 'Steam Achievements'})",0.23101303867886377,0.4381345836475513,0.1854159152759107,0.802620996357099,1.8319051412813183,1.0,0.08420111375719105,2.846632144161485,0.590543441526857,0.3833032083145052,0.648707683551236,0.6129074848079648
75,frozenset({'PvP'}),"frozenset({'Single-player', 'Multi-player'})",0.11857219362383466,0.1434910434221887,0.08270216509830923,0.6974836390450733,4.860816552799685,1.0,0.06568811731436741,2.8312814350739406,0.9011211610954573,0.4610931692157699,0.6468030385068788,0.636920660256789
113,frozenset({'Steam Trading Cards'}),"frozenset({'Single-player', 'Steam Achievements'})",0.10897625058745096,0.4381345836475513,0.08669136693006328,0.7955069702136195,1.8156680616053567,1.0,0.03894510275145924,2.7476017981609937,0.5041824487363946,0.18828779642509552,0.6360462419738867,0.4966858339393781
138,"frozenset({'PvP', 'Single-player', 'Multi-player'})",frozenset({'Online PvP'}),0.08270216509830923,0.08481152387509973,0.05402362919002809,0.6532311351922823,7.702150667099001,1.0,0.04700953254027039,2.6391887190690246,0.9486189769375888,0.47602080123266566,0.621095682633582,0.6451078356373783
142,"frozenset({'PvP', 'Single-player'})","frozenset({'Online PvP', 'Multi-player'})",0.08274588237865722,0.08439620971179383,0.05402362919002809,0.6528860124157971,7.735963672365733,1.0,0.047040190348011504,2.6377611477442957,0.9492828713699397,0.47758454106280196,0.6208906174635415,0.6465025762674685
93,"frozenset({'PvP', 'Single-player'})",frozenset({'Online PvP'}),0.08274588237865722,0.08481152387509973,0.05402362919002809,0.6528860124157971,7.6980813760319835,1.0,0.04700582481110441,2.6365646699930063,0.9485893661925586,0.47583750481324605,0.6207185769493556,0.6449352742491357
109,"frozenset({'Steam Leaderboards', 'Steam Achievements'})",frozenset({'Single-player'}),0.07210072461392177,0.949637693039116,0.0706799130026121,0.9802940730635137,1.0322821853524877,1.0,0.0022103472137988273,2.555693377084237,0.033702619605597506,0.07431710316137854,0.6087167541432966,0.5273611833167353
141,"frozenset({'Online PvP', 'Multi-player'})","frozenset({'PvP', 'Single-player'})",0.08439620971179383,0.08274588237865722,0.05402362919002809,0.6401191401191401,7.735963672365732,1.0,0.047040190348011504,2.5487716071507767,0.9509939034627701,0.47758454106280196,0.6076541353511541,0.6465025762674685
145,frozenset({'Online PvP'}),"frozenset({'PvP', 'Single-player', 'Multi-player'})",0.08481152387509973,0.08270216509830923,0.05402362919002809,0.6369845360824742,7.702150667099001,1.0,0.04700953254027039,2.5268836346599644,0.9508053875153377,0.47602080123266566,0.6042556189436213,0.6451078356373783
